"filename", "language", "JSON", "Properties", "JavaScript", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"d:\1-LearningPrograming\11_Dashboard\client\.env", "Properties", 0, 1, 0, 0, 0, 0, 2, 0, 3
"d:\1-LearningPrograming\11_Dashboard\client\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 1, 17
"d:\1-LearningPrograming\11_Dashboard\client\package-lock.json", "JSON", 12497, 0, 0, 0, 0, 0, 0, 1, 12498
"d:\1-LearningPrograming\11_Dashboard\client\package.json", "JSON", 64, 0, 0, 0, 0, 0, 0, 1, 65
"d:\1-LearningPrograming\11_Dashboard\client\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\1-LearningPrograming\11_Dashboard\client\src\App.css", "PostCSS", 0, 0, 0, 159, 0, 0, 2, 18, 179
"d:\1-LearningPrograming\11_Dashboard\client\src\App.jsx", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\1-LearningPrograming\11_Dashboard\client\src\MyRouter.jsx", "JavaScript", 0, 0, 26, 0, 0, 0, 3, 7, 36
"d:\1-LearningPrograming\11_Dashboard\client\src\api\auth.jsx", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\1-LearningPrograming\11_Dashboard\client\src\api\case.jsx", "JavaScript", 0, 0, 57, 0, 0, 0, 13, 16, 86
"d:\1-LearningPrograming\11_Dashboard\client\src\api\user.jsx", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 8, 54
"d:\1-LearningPrograming\11_Dashboard\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\1-LearningPrograming\11_Dashboard\client\src\components\AppFooter\Index.jsx", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\1-LearningPrograming\11_Dashboard\client\src\components\AppHeader\Index.jsx", "JavaScript", 0, 0, 136, 0, 0, 0, 31, 16, 183
"d:\1-LearningPrograming\11_Dashboard\client\src\components\AppRoutes\Index.jsx", "JavaScript", 0, 0, 52, 0, 0, 0, 16, 11, 79
"d:\1-LearningPrograming\11_Dashboard\client\src\components\Charts\Bar.jsx", "JavaScript", 0, 0, 112, 0, 0, 0, 88, 18, 218
